id,pred_shortcut_span,pred_shortcut_index,gold_shortcut_indices,gold_shortcut_core_texts,shortcut_confidence,shortcut_eligible,shortcut_indices_available,shortcut_strict_hit,pred_constraint_span,pred_constraint_index,gold_constraint_indices,gold_constraint_proposition_indices,gold_constraint_core_texts,constraint_indices_available,constraint_strict_hit,constraint_proposition_indices_available,constraint_proposition_hit,candidate_level_safe,cue_identification_status,notes
118,under the antenna.,4,[0],['The airport taxi permit is assigned'],high,True,True,False,,,"[3, 4]","[3, 4]","[""read the cab's roof transponder as it passes under the antenna""]",True,False,True,False,True,neither,The transponder is on the cab.
119,the live sensor wake-up.,1,[0],['The backup-sensor repair is signed off'],high,True,True,False,to test the sensors from,3,"[3, 4]","[3, 4]",['test the sensors from inside the SUV'],True,True,True,True,True,constraint_only,The sensors must be tested on the SUV.
120,and verifies the parking sensors wake up.,4,[0],['The bumper repair is finished'],high,True,True,False,,,"[2, 3, 4]","[2, 3, 4]",['the technician in the delivery lane scans the SUV and verifies the parking sensors wake up'],True,False,True,False,True,neither,The scan and sensor check happen on the SUV.
121,to archive a whiteboard diagram,1,[],[],none,False,False,,,,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","['archive a whiteboard diagram before it is erased', 'a still image that can be attached to the meeting notes']",True,False,True,False,True,no_evaluable_shortcut,A still image is required for the diagram.
122,,,[0],['The utility cart return is paused'],medium,True,True,False,The yard lead is at the return slot,1,"[2, 3]","[2, 3]",['photograph the cracked front bumper and read the ID tag'],True,False,True,False,True,neither,The bumper and ID tag are on the cart.
123,The boat sale paperwork is ready.,0,[0],['The boat sale paperwork is ready'],high,True,True,True,The broker is at the dock gate,1,"[2, 3, 4]","[2, 3, 4]",['compare the HIN on the hull with the bill of sale before taking payment'],True,False,True,False,True,shortcut_only,The HIN is on the boat hull.
124,The cashier is in the front office.,4,[4],['The cashier is in the front office'],high,True,True,True,after seeing the load tied down in a,2,"[2, 3]","[2, 3]",['seeing the load tied down in a truck bed'],True,True,True,True,True,both_strict,The gate opens after the load is secured in the truck.
125,,,[0],['The furniture outlet has wrapped the display recliner'],medium,True,True,False,,,"[2, 3]","[2, 3]",['lift it straight into a van'],True,False,True,False,True,neither,The recliner is released by loading it into the van.
126,,,"[3, 4]",['original paper ride voucher'],medium,True,True,False,timekeeping office.,1,"[2, 3, 4]","[2, 3, 4]","['scans proof pages', 'the shuttle counter requires the original paper ride voucher for the refund']",True,False,True,False,False,neither,"The office needs a scan, and the refund office needs the original."
127,,,[5],['The facilities desk is in the lobby'],high,True,True,False,after facilities scans the frame tag on the,1,"[1, 2, 3, 4]","[1, 2, 3, 4]",['facilities scans the frame tag on the e-bike and links it to a door code'],True,True,True,True,True,constraint_only,Facilities must scan the frame tag on the e-bike before assigning access.
128,,,[3],['original'],medium,True,True,False,I am submitting proof of a delayed shuttle,0,"[2, 3]","[2, 3]","['archives scans', 'the shuttle agency wants the original paper voucher']",True,False,True,False,False,neither,The original is needed at the agency counter.
129,,,[0],['The shoe-stretch ticket is open'],high,True,True,False,to fit the stretcher,2,"[2, 3]","[2, 3]",['fit the stretcher inside the actual shoe'],True,True,True,True,True,constraint_only,The stretcher is fitted inside the shoe.
130,,,[0],['The office-chair order is pulled'],medium,True,True,False,The office-chair order is pulled.,0,"[4, 5]","[4, 5]",['place the boxes into my vehicle'],True,False,True,False,True,neither,The loader needs the vehicle there for the boxes.
131,,,[4],['The rental office is by the pedestrian entrance'],high,True,True,False,until the attendant checks the loose spare-tire carrier,2,"[2, 3]","[2, 3]",['the attendant checks the loose spare-tire carrier reported last week'],True,True,True,True,True,constraint_only,The attendant must inspect the spare-tire carrier on the trailer.
132,The campground lets UTVs,0,[4],['The camp office is nearby'],high,True,True,False,after the gate attendant scans the current registration,2,"[2, 3]","[2, 3]",['the gate attendant scans the current registration tag on the machine'],True,True,True,True,True,constraint_only,The registration tag must be scanned on the UTV.
133,,,[0],['The band-room tag is printed'],medium,True,True,False,,,"[2, 3]","[2, 3]",['it is attached to the saxophone case'],True,False,True,False,True,neither,The tag must be attached to the case.
134,The food-truck logo proof is approved.,0,[0],['The food-truck logo proof is approved'],high,True,True,True,,,"[1, 2, 3, 4]","[1, 2, 3, 4]",['The wrap installer needs a camera read from the faded vinyl around the serving window while the truck is under bay lights'],True,False,True,False,True,shortcut_only,The faded wrap is on the truck.
135,,,"[3, 4]",['original stamped ticket'],medium,True,True,False,while the station refund counter requires the original,3,"[2, 3, 4]","[2, 3, 4]","['scans proof pages', 'the station refund counter requires the original stamped ticket for the refund']",True,True,True,True,False,constraint_only,"The office needs a scan, and the refund office needs the original."
136,,,[0],['The refinance packet is complete'],high,True,True,False,to read the VIN on my boat trailer,2,"[2, 3]","[2, 3]",['read the VIN on my boat trailer before approving the lien update'],True,True,True,True,True,constraint_only,The VIN is physically on the trailer.
137,,,"[2, 3]",['original pay-station ticket'],medium,True,True,False,I am documenting a parking-machine outage for department payroll.,0,"[1, 2, 3]","[1, 2, 3]","['scans proof pages', 'the parking office requires the original pay-station ticket for the refund']",True,False,True,False,False,neither,"The office needs a scan, and the refund office needs the original."
138,,,[4],['The shop counter is nearby'],high,True,True,False,before they mix paint.,3,"[1, 2, 3]","[1, 2, 3]",['sample the sun-faded body panel before they mix paint'],True,True,True,True,True,constraint_only,Color matching requires scanning the cart's actual surface.
139,I am updating my makerspace account.,0,[3],['RFID token'],medium,True,True,False,while the RFID token must remain active on,3,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the RFID token must remain active on my keychain']",True,True,True,True,False,constraint_only,The archive needs paper proof while the working credential must stay available.
140,,,[1],['replacement latch'],medium,True,True,False,I am fixing a loose cabinet latch.,0,"[1, 2]","[1, 2]","['The replacement latch is already on the counter, but the old latch is held by Phillips-head screws']",True,False,True,False,False,neither,Removing/installing the latch requires the screwdriver.
141,,,[0],['The utility-trailer citation review is open'],high,True,True,False,to see whether the jack stand blocks the,2,"[2, 3, 4]","[2, 3, 4]",['see whether the jack stand blocks the plate light from the ticket angle'],True,True,True,True,True,constraint_only,The jack stand and plate light are on the trailer.
142,,,[3],['keycard'],medium,True,True,False,The desk scanner takes paper proof,1,"[1, 2, 3]","[1, 2, 3]","['takes paper proof and discards it', 'my keycard still opens the turnstile']",True,True,True,True,False,constraint_only,The active keycard should stay with me.
143,where the jammed lock sits.,2,[],[],none,False,False,,The marine shop can free my coupler lock.,0,[2],[2],['the jammed lock sits'],True,False,True,False,True,no_evaluable_shortcut,The jammed lock is on the trailer tongue.
144,The instructions say perishable samples must be logged,1,[],[],none,False,False,,,,"[2, 3]","[2, 3]",['be logged at the refrigerated side counter before any paperwork is processed'],True,False,True,False,True,no_evaluable_shortcut,The perishable sample must be refrigerated and logged.
145,,,[0],['The renewal packet for my food truck is approved'],high,True,True,False,The renewal packet for my food truck is,0,"[1, 3, 4]","[1, 3, 4]","['the live emissions reading', 'the truck follows the throttle prompts']",True,False,True,False,True,neither,The reading is taken from the running food truck.
146,,,[0],['The nursery order is paid'],high,True,True,False,The loader is waiting at the pickup pad,1,"[2, 3, 4]","[2, 3, 4]","[""tie the tree's root ball and trunk into my truck bed""]",True,False,True,False,True,neither,The tree must be tied into the truck.
147,,,[],[],none,False,False,,The payment window is open,3,"[1, 2]","[1, 2]",['the attendant confirms the plate holder was bent exactly as noted by enforcement'],True,False,True,False,True,no_evaluable_shortcut,Voiding the ticket requires the motorcycle's plate holder to be inspected.
148,,,[5],['The marina counter is at the dock entrance'],high,True,True,False,from the display,2,"[2, 3, 4]","[2, 3, 4]",['read engine hours from the display and match the hull ID before opening the work order'],True,True,True,True,True,constraint_only,The work order requires reading hours and hull ID on the boat.
149,,,[0],['The seafood order is cleared for pickup'],medium,True,True,False,door seal,2,"[1, 2, 3, 4]","[1, 2, 3, 4]",['The guard in the reefer lane checks the door seal and the temperature strip stuck inside the trailer'],True,True,True,True,True,constraint_only,The door seal and strip must be inspected on the trailer.
150,I am updating my music-practice room account.,0,[3],['door card'],medium,True,True,False,,,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the door card must remain active on my lanyard']",True,False,True,False,False,neither,The archive needs paper proof while the working credential must stay available.
151,Fleet maintenance is at the diagnostic stripe,1,[0],['The service-van parts approval is paused'],medium,True,True,False,under the van dash.,3,"[2, 3]","[2, 3]",['pulls fault codes from under the van dash'],True,True,True,True,True,constraint_only,The fault codes come from the van.
152,,,[],[],none,False,False,,,,"[2, 3]","[2, 3]",['drop the paper coupon in the acrylic box at the service desk'],True,False,True,False,True,no_evaluable_shortcut,The paper coupon must be dropped in the box.
153,,,[0],['The countertop release is signed'],high,True,True,False,onto a padded truck rack.,3,"[2, 3]","[2, 3]",['the slab is lifted directly onto a padded truck rack'],True,True,True,True,True,constraint_only,The slab is loaded directly onto the truck rack.
154,,,"[0, 1]",['The e-bike frame shop says the touch-up paint is close'],medium,True,True,False,The e-bike frame shop says the touch-up paint,0,[5],[5],['The sales desk is open'],True,False,True,False,True,neither,The paint formula comes from scanning the actual scratched frame.
155,,,[0],['The scissor-lift inspection sheet is ready'],high,True,True,False,The scissor-lift inspection sheet is ready.,0,"[2, 3]","[2, 3]",['scan the serial plate and test the tilt alarm'],True,False,True,False,True,neither,The serial plate and alarm are on the lift.
156,,,[1],['asset sticker'],medium,True,True,False,I am adding a barcode scanner to inventory.,0,"[2, 3]","[2, 3]",['be applied to the handle before the clerk scans it'],True,False,True,False,False,neither,The tag must be on the asset before scanning.
157,,,[0],['The tire pallet is ready'],high,True,True,False,into my truck bed,3,"[2, 3, 4]","[2, 3, 4]",['place it into my truck bed and check the tailgate clearance'],True,True,True,True,True,constraint_only,The pallet is loaded into the truck bed.
158,The office window is within walking distance.,5,[5],['The office window is within walking distance'],high,True,True,True,until the guard checks the door seal,2,"[2, 3, 4]","[2, 3, 4]",['the guard checks the door seal and the temperature strip stuck inside the trailer'],True,True,True,True,True,both_strict,The trailer must be present for the seal and temperature-strip check.
159,The report is generated by plugging a tablet,3,[6],['The fleet office is across the parking lot'],high,True,True,False,before approving parts.,2,"[0, 1, 2]","[0, 1, 2]",['a fault-code printout for my service van before approving parts'],True,True,True,True,True,constraint_only,The tablet needs to connect to the van to generate the report.
160,,,[0],['The pallet-jack ticket is logged'],high,True,True,False,The pallet-jack ticket is logged.,0,"[2, 3]","[2, 3]",['watch the controller lights when the switch is toggled twice'],True,False,True,False,True,neither,The controller lights are on the pallet jack.
161,The warehouse replaced my windshield access sticker,0,[3],['The security desk is inside the same gatehouse'],high,True,True,False,,,[2],[2],['match when the van passes the drive-through post'],True,False,True,False,True,neither,The replacement sticker is verified by the drive-through post.
162,The dispatcher is at the loading pad,1,[0],['The lab-sample courier run is assigned'],high,True,True,False,before releasing the boxes.,3,"[2, 3]","[2, 3]",['read the van refrigerator display before releasing the boxes'],True,True,True,True,True,constraint_only,The refrigerator display is in the van.
163,,,[4],['The service counter is open now'],high,True,True,False,and frame serial scan,2,"[0, 1, 2, 3]","[0, 1, 2, 3]","['My ATV warranty claim was accepted, but the dealer needs a current hour-meter photo and frame serial scan before they can release the repair kit']",True,True,True,True,True,constraint_only,The repair kit release requires documenting the ATV itself.
164,,,[],[],none,False,False,,,,"[2, 3]","[2, 3]",['the hangtag is held near the windshield scanner'],True,False,True,False,True,no_evaluable_shortcut,The sensor needs the physical hangtag.
165,,,[3],['return sheet'],medium,True,True,False,,,"[1, 2, 3]","[1, 2, 3]",['scan the metal asset plate riveted to the toolbox before signing the return sheet'],True,False,True,False,False,neither,The plate is riveted to the toolbox.
166,,,[4],['information desk'],medium,True,True,False,The clerk says biological samples go through the,2,"[2, 3, 4]","[2, 3, 4]","['biological samples go through the side sample chute, not the main information desk']",True,True,True,True,False,constraint_only,The sample chute is the authorized intake.
167,to tell the camera director that camera three,1,"[0, 1, 2]",['I need to tell the camera director that camera three has the spare battery'],medium,True,True,True,,,[3],[3],['The camera director is calling live shots'],True,False,True,False,True,shortcut_only,The quiet channel avoids interrupting live cue work.
168,,,[],[],none,False,False,,I am tidying a first-aid room.,0,"[1, 2]","[1, 2]",['be discarded in the sharps bin'],True,False,True,False,True,no_evaluable_shortcut,Needles require sharps disposal.
169,,,[0],['The bike-room slot is approved'],high,True,True,False,to my e-bike frame.,3,"[2, 3]","[2, 3]",['scan the RFID sticker already attached to my e-bike frame'],True,True,True,True,True,constraint_only,The RFID sticker is on the e-bike frame.
170,while the store rebate requires the original register receipt.,2,[2],['original register receipt'],medium,True,True,True,The clerk scans receipts and tosses the paper,1,"[1, 2]","[1, 2]","['scans receipts and tosses the paper', 'the store rebate requires the original register receipt']",True,True,True,True,False,both_strict,The copy works for scanning while the original stays available.
171,,,[3],['original dated receipt'],medium,True,True,False,with the utility-aid clerk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the store rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
172,,,[3],['door pass'],medium,True,True,False,,,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the door pass must remain active on my badge reel']",True,False,True,False,False,neither,The archive needs paper proof while the working credential must stay available.
173,,,[0],['The resident moped permit form is approved'],high,True,True,False,The resident moped permit form is approved.,0,"[3, 4]","[3, 4]",['check the VIN on the steering neck before attaching the decal'],True,False,True,False,True,neither,The VIN is on the moped.
174,The equipment shop will release my enclosed trailer,0,[3],['The front counter is open'],high,True,True,False,after checking that the breakaway battery powers the,1,"[1, 2]","[1, 2]",['checking that the breakaway battery powers the brakes when the cable is pulled'],True,True,True,True,True,constraint_only,Release requires testing the trailer's breakaway brake system.
175,The tech is at the jig,1,[0],['The ski-shop form is complete'],high,True,True,False,,,[2],[2],['test the binding release on the actual skis'],True,False,True,False,True,neither,The binding test is done on the skis.
176,The hiking-pack fitting form is complete.,0,[0],['The hiking-pack fitting form is complete'],high,True,True,True,,,"[2, 3]","[2, 3]",['adjust the frame stays while the pack is loaded'],True,False,True,False,True,shortcut_only,The frame stays are in the backpack.
177,before handing over the kit.,4,[0],['The recall kit for my snowmobile is reserved'],high,True,True,False,The recall kit for my snowmobile is reserved.,0,"[2, 3, 4]","[2, 3, 4]",['scan the chassis plate and read the hour meter before handing over the kit'],True,False,True,False,True,neither,The chassis plate and hour meter are on the snowmobile.
178,,,[3],['original dated receipt'],medium,True,True,False,with the event-equipment clerk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the store rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
179,,,[1],['barcode sticker'],medium,True,True,False,I am adding a network switch to inventory.,0,"[1, 2]","[1, 2]",['be on the top panel before the IT clerk scans it'],True,False,True,False,False,neither,The sticker must be on the switch before scanning.
180,,,[1],['name label'],medium,True,True,False,,,"[1, 2]","[1, 2]",['be on the front pocket before the counselor scans it'],True,False,True,False,False,neither,The label must be on the backpack.
181,to scan the sticker already on my scooter.,2,[0],['The campsite mobility-sticker request is approved'],high,True,True,False,The ranger is at the accessible path gate,1,[2],[2],['scan the sticker already on my scooter'],True,False,True,False,True,neither,The sticker is on the scooter.
182,,,[3],['original'],medium,True,True,False,while the rail agency refund counter needs the,2,"[1, 2, 3]","[1, 2, 3]","['stores scanned sheets only', 'the rail agency refund counter needs the original paper ticket']",True,True,True,True,False,constraint_only,Payroll only needs a scan and the original is needed for the refund.
183,,,[0],['The forklift no-start report is filed'],medium,True,True,False,The maintenance lead is at the fueling bay,1,"[1, 2, 3, 4]","[1, 2, 3, 4]",['The maintenance lead is at the fueling bay to watch fuel pressure during the first start after refueling'],True,True,True,True,True,constraint_only,The start test requires the forklift.
184,,,[],[],none,False,False,,to watch the hitch bounce,2,"[2, 3]","[2, 3]",['watch the hitch bounce while the tug pulls a loaded cart train'],True,True,True,True,True,constraint_only,The rattle occurs while the tug pulls the carts.
185,,,[1],['field tag'],medium,True,True,False,The field tag must be tied,1,"[2, 3]","[2, 3]",['be tied to the sample bag before the curator scans it'],True,False,True,False,False,neither,The tag must travel with the sample bag.
186,,,[1],['temperature tag'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be attached to the cooler handle before intake scans it'],True,False,True,False,False,neither,The tag must be attached to the cooler.
187,,,[3],['original dated receipt'],medium,True,True,False,with the makers-club clerk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the store rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
188,,,[1],['section label'],medium,True,True,False,I am checking in a portable riser.,0,"[2, 3]","[2, 3]",['be attached to the underside brace before staff move it inside'],True,False,True,False,False,neither,The tag must be on the object before intake.
189,,,[0],['The marina gate note is active'],medium,True,True,False,Staff are waiting at the vehicle gate,1,"[2, 3]","[2, 3]",['inspect the loose winch strap on my boat trailer'],True,False,True,False,True,neither,The winch strap is on the trailer.
190,My car-share account is frozen,0,[5],['The office is a short walk away'],high,True,True,False,The verification garage can unlock it only,2,"[3, 4]","[3, 4]",['photographing the plate and current sticker on the car'],True,False,True,False,True,neither,Unlocking the account requires current photos of the car's plate and sticker.
191,,,[0],['The lease return forms are signed'],high,True,True,False,The inspector is standing on the return line,1,"[2, 3]","[2, 3]",['photograph the car and record the odometer'],True,False,True,False,True,neither,The inspector needs the car for photos and odometer.
192,I need,0,[],[],none,False,False,,,,[3],[3],['The spotlight operator is tracking a live solo'],True,False,True,False,True,no_evaluable_shortcut,The quiet channel avoids interrupting live cue work.
193,before staff scan the package.,3,[1],['return label'],medium,True,True,False,,,"[2, 3]","[2, 3]",['be stuck to the shipping box before staff scan the package'],True,False,True,False,False,neither,The shipping label must be on the package before scanning.
194,,,[0],['The powered wheelchair startup case is active'],medium,True,True,False,to watch the joystick display,2,"[2, 3]","[2, 3]",['watch the joystick display while the chair boots'],True,True,True,True,True,constraint_only,The joystick display is on the chair.
195,The equipment trailer's ground-fault note is entered.,0,[0],"[""The equipment trailer's ground-fault note is entered""]",medium,True,True,True,,,"[2, 3]","[2, 3]",['wiggle the connector while the lights are powered'],True,False,True,False,True,shortcut_only,The connector and lights are on the trailer.
196,,,[1],['inventory sticker'],medium,True,True,False,The inventory sticker must be on the box lid,1,"[1, 2]","[1, 2]",['be on the box lid before the librarian scans it'],True,True,True,True,False,constraint_only,The sticker must be on the box lid.
197,,,[0],['The airport taxi office issued a new lot transponder'],medium,True,True,False,The airport taxi office issued a new lot transponder,0,"[2, 3]","[2, 3]",['scanning it through the cab windshield at the barrier'],True,False,True,False,True,neither,The transponder has to be read from the taxi at the barrier.
198,,,[0],['The bow-safety form is ready'],high,True,True,False,to check the draw weight on the actual bow.,2,[2],[2],['check the draw weight on the actual bow'],True,True,True,True,True,constraint_only,The draw weight is measured on the bow.
199,,,[5],['The maintenance office is across the dock'],high,True,True,False,The maintenance office is across the dock.,5,"[2, 3, 4]","[2, 3, 4]",['driven slowly through a left turn so they can watch the wheel movement'],True,False,True,False,True,neither,The bounce must be reproduced while the tug is moving through a turn.
200,,,[3],['trailer decal'],medium,True,True,False,,,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the trailer decal must remain active on the trailer tongue']",True,False,True,False,False,neither,The archive needs paper proof while the working credential must stay available.
201,,,[5],['The parts desk is right inside'],high,True,True,False,handed out only,2,"[3, 4]","[3, 4]",['a bay photo of the VIN sticker and hour meter'],True,False,True,False,True,neither,The kit requires bay documentation of the vehicle identifiers.
202,is keyed on.,3,[0],['The electric tug wake-up issue is logged'],high,True,True,False,to watch the dashboard lights when the tug,2,"[2, 3]","[2, 3]",['watch the dashboard lights when the tug is keyed on'],True,True,True,True,True,constraint_only,The dashboard lights are on the tug.
203,,,[5],['original receipt'],medium,True,True,False,while the generator warranty sleeve asks me,4,"[2, 3, 4, 5]","[2, 3, 4, 5]","['stores a scan and returns no paper', 'the generator warranty sleeve asks me to keep the original receipt']",True,True,True,True,False,constraint_only,The scan target only needs a copy while the warranty target needs the original.
204,with the release tool,3,[],[],none,False,False,,,,"[2, 3, 4]","[2, 3, 4]",['to remove the cover with the release tool before pulling the stuck label'],True,False,True,False,True,no_evaluable_shortcut,The cover requires the release tool.
205,,,[3],['original receipt'],medium,True,True,False,while my appliance rebate requires the original receipt.,3,"[2, 3]","[2, 3]","['scans pages and returns no paper', 'my appliance rebate requires the original receipt']",True,True,True,True,False,constraint_only,The copy is enough for the clerk's scan and preserves the rebate original.
206,and discards it,2,[3],['vehicle placard'],medium,True,True,False,,,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the vehicle placard must remain active on the dash']",True,False,True,False,False,neither,The archive needs paper proof while the working credential must stay available.
207,The passport form is filled out.,0,[0],['The passport form is filled out'],high,True,True,True,,,"[2, 3]","[2, 3]",['check the raised seal on my birth certificate before putting the packet together'],True,False,True,False,True,shortcut_only,The raised seal is on the original document.
208,,,[4],['reception'],medium,True,True,False,"to the cold-chain intake fridge, not",3,"[3, 4]","[3, 4]","['go straight to the cold-chain intake fridge, not to administrative reception']",True,True,True,True,False,constraint_only,The tubes must enter cold-chain intake.
209,,,[5],['original receipt'],medium,True,True,False,The clerk stores a scan,2,"[2, 3, 4, 5]","[2, 3, 4, 5]","['stores a scan and returns no paper', 'the printer service portal asks me to keep the original receipt']",True,True,True,True,False,constraint_only,The scan target only needs a copy while the warranty target needs the original.
210,,,"[2, 3, 4, 5, 6]","['Incoming liquid samples must be scanned directly into the rear refrigeration system, and the front office is not allowed to store liquids']",high,True,True,False,Incoming liquid samples must be scanned directly,2,"[0, 1]","[0, 1]",['I am delivering water quality vials to a municipal lab'],True,False,True,False,True,neither,The vials require the authorized refrigerated intake.
211,,,[0],['The moped ticket can be canceled'],medium,True,True,False,to see whether the basket bracket blocks the,2,"[2, 3]","[2, 3]",['see whether the basket bracket blocks the rear plate light'],True,True,True,True,True,constraint_only,The bracket and plate light are on the moped.
212,,,"[0, 1, 2]","[""I need to tell my colleague that the printed exhibits are at the clerk's desk""]",medium,True,True,False,to tell my colleague that the printed exhibits,1,"[3, 4]","[3, 4]",['My colleague is sitting in a courtroom where calls and speech are prohibited'],True,False,True,False,True,neither,A text avoids prohibited noise.
213,and strapped.,3,[0],['The drywall order is staged'],high,True,True,False,The yard worker signs the release only,1,"[2, 3]","[2, 3]",['the sheets are lying flat in my truck and strapped'],True,False,True,False,True,neither,The release follows loading and strapping in the truck.
214,,,[5],['The service desk is just off the pier'],high,True,True,False,but the technician starts the claim only,1,"[2, 3, 4]","[2, 3, 4]",['scanning the hull serial and reading hours from the onboard display'],True,False,True,False,True,neither,The technician needs the boat present for serial and hour data.
215,,,[0],['The e-bike power complaint is open'],high,True,True,False,The shop is at the stand,1,"[2, 3]","[2, 3]",['watch the display boot after the power button is pressed twice'],True,False,True,False,True,neither,The boot sequence happens on the e-bike.
216,,,[5],['The leasing office is down the hall'],high,True,True,False,and the manager scans the small RFID sticker,1,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","['My apartment is assigning e-bike lockers, and the manager scans the small RFID sticker already attached to the frame before assigning a door code']",True,True,True,True,True,constraint_only,The RFID sticker on the e-bike must be scanned.
217,,,[3],['original dated receipt'],medium,True,True,False,with the dorm office.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the appliance rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
218,,,"[6, 7]",['The service counter is a short walk from the dock'],high,True,True,False,The boat trailer's brake lights blink on,0,"[4, 5]","[4, 5]",['check the connector and ground'],True,False,True,False,True,neither,The shop needs the trailer connected to its tester.
219,,,[0],['The catering-cart repair order is ready'],high,True,True,False,The catering-cart repair order is ready.,0,"[2, 3]","[2, 3]",['roll the cart and inspect the wobbling wheel'],True,False,True,False,True,neither,The wheel is on the cart.
220,,,[0],['The saxophone service note is open'],high,True,True,False,The repairer is at the dark bench,1,[3],[3],['check the pads'],True,False,True,False,True,neither,The pads are on the saxophone.
221,tug runs through short throttle bursts.,3,[],[],none,False,False,,The airport tug needs a smoke reading,0,[3],[3],['the tug runs through short throttle bursts'],True,False,True,False,True,no_evaluable_shortcut,The smoke reading is taken from the tug.
222,,,[],[],none,False,False,,,,"[2, 3, 4]","[2, 3, 4]",['arrive in the envelope; digital copies are not accepted'],True,False,True,False,True,no_evaluable_shortcut,The wet-ink original is required.
223,,,[0],['The forklift safety tag is ready'],high,True,True,False,The safety lead is waiting at the marked zone,1,"[2, 3]","[2, 3]",['inspect the bent rear bumper guard before tagging it'],True,False,True,False,True,neither,The guard is on the forklift.
224,,,[1],['collection label'],medium,True,True,False,The collection label must be sealed,1,"[2, 3]","[2, 3]",['be sealed onto the sample bag before the botanist scans it'],True,False,True,False,False,neither,The label must be on the sample bag.
225,,,[],[],none,False,False,,,,[3],[3],['the boards are strapped in my truck bed'],True,False,True,False,True,no_evaluable_shortcut,The clerk must see the secured load in the truck.
226,,,[1],['lot label'],medium,True,True,False,onto the sample pouch,2,"[2, 3]","[2, 3]",['be sealed onto the sample pouch before the technician scans it'],True,True,True,True,False,constraint_only,The label must be on the sample container.
227,,,[3],['original dated receipt'],medium,True,True,False,with the maintenance-file desk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the rebate form requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
228,,,[2],['asset sticker'],medium,True,True,False,before the clerk scans it.,4,"[3, 4]","[3, 4]",['be applied to the back before the clerk scans it'],True,True,True,True,False,constraint_only,The sticker must be on the monitor before scanning.
229,,,[0],['The scissor-lift case is open'],high,True,True,False,to hear the contactor when the lift wakes up.,2,[2],[2],['hear the contactor when the lift wakes up'],True,True,True,True,True,constraint_only,The contactor is in the lift.
230,to scan the faded rail section,2,[0],['The pontoon fence repair is approved'],high,True,True,False,The pontoon fence repair is approved.,0,"[2, 3]","[2, 3]",['scan the faded rail section while it is still mounted along the deck'],True,False,True,False,True,neither,The mounted rail section must be scanned.
231,but does,1,[],[],none,False,False,,not wake up,2,"[3, 5, 6, 7]","[3, 5, 6, 7]","['the key is cycled', 'see the lift start in the service bay while he listens near the contactor']",True,False,True,False,True,no_evaluable_shortcut,The mechanic needs the lift present to reproduce the startup behavior.
232,,,[0],['The e-bike power issue is checked in'],high,True,True,False,to watch the display boot,2,"[2, 3, 4]","[2, 3, 4]",['watch the display boot and battery connector while I press the button'],True,True,True,True,True,constraint_only,The display and battery connector are on the e-bike.
233,The board has no written version.,3,[],[],none,False,False,,,,"[1, 2]","[1, 2]","[""capture a professor's exact spoken announcement for the class record""]",True,False,True,False,True,no_evaluable_shortcut,The information is spoken.
234,,,[],[],none,False,False,,,,[3],[3],['go to the locked shred bin'],True,False,True,False,True,no_evaluable_shortcut,Confidential pages require shredding.
235,The claim desk is inside,4,"[0, 1, 2, 3]",['The glass shop replaced my windshield and said the lane camera has to be recalibrated before they close the insurance job'],medium,True,True,False,and said the lane camera has,1,"[4, 5, 6, 7]","[4, 5, 6, 7]","['The claim desk is inside, but the calibration target is set up in the service lane with the car parked in front of it']",True,False,True,False,True,neither,The camera calibration must be done with the car positioned in the service lane.
236,,,[0],['The taxi lot transponder has been assigned'],high,True,True,False,The taxi lot transponder has been assigned.,0,[2],[2],['scan it through the cab windshield once'],True,False,True,False,True,neither,The transponder must be read from the cab.
237,,,[3],['original dated receipt'],medium,True,True,False,with the workroom-file desk.,1,"[2, 3]","[2, 3]","['scans proof pages and discards them', 'the lighting rebate requires the original dated receipt']",True,False,True,False,False,neither,The copy supports the archive while preserving the original for the rebate.
238,,,[3],['access badge'],medium,True,True,False,The desk clerk scans paper proof,1,"[1, 2, 3, 4]","[1, 2, 3, 4]","['scans paper proof and discards it', 'the access badge must remain active in my wallet']",True,True,True,True,False,constraint_only,The archive needs paper proof while the working credential must stay available.
