id,correct_option,shortcut_option,prediction_original,true_hallucination,pred_shortcut_span,shortcut_deleted_prediction,shortcut_deleted_flips,shortcut_deleted_role_flip_direction,pred_constraint_span,constraint_deleted_prediction,constraint_deleted_flips,constraint_deleted_role_flip_direction,hallucination_detected,hallucination_detection_observable,hallucination_detection_correct,hallucination_detected_directional,hallucination_directional_correct
281,1,2,1,False,,,,,the trailer set-point display,2,True,correct_to_shortcut,False,False,True,False,True
282,2,1,2,False,,,,,The tester is at the pad,1,True,correct_to_shortcut,False,False,True,False,True
283,1,2,1,False,and the room coordinator left the screws in,1,False,no_flip,,,,,False,False,True,False,True
284,2,1,2,False,The fitter is at the lie board,2,False,no_flip,,,,,False,False,True,False,True
285,2,1,2,False,to tell the session chair that the next,2,False,no_flip,,,,,False,False,True,False,True
286,2,1,2,False,,,,,to read the faded fiberglass front cap directly,2,False,no_flip,False,False,True,False,True
287,1,2,1,False,and inserted today.,1,False,no_flip,,,,,False,False,True,False,True
288,2,1,2,False,,,,,with the front desk.,1,True,correct_to_shortcut,False,False,True,False,True
289,2,1,2,False,,,,,The clerk scans proof pages and discards them,1,True,correct_to_shortcut,False,False,True,False,True
290,2,1,2,False,to tell the lighting operator that the spare,2,False,no_flip,The operator is calling cues,2,False,no_flip,False,True,True,False,True
291,2,1,2,False,,,,,I am submitting a swab kit.,2,False,no_flip,False,False,True,False,True
292,1,2,1,False,,,,,The operator is running cues,2,True,correct_to_shortcut,False,False,True,False,True
293,2,1,2,False,,,,,The mechanic is waiting by the bay fan,2,False,no_flip,False,False,True,False,True
294,2,1,1,True,The service desk is easy,2,True,shortcut_to_correct,and record hours,1,False,no_flip,True,True,True,True,True
295,2,1,1,True,and returns no paper,2,True,shortcut_to_correct,thermal camera.,1,False,no_flip,True,True,True,True,True
296,1,2,2,True,Their order desk is by the sidewalk.,1,True,shortcut_to_correct,The RV stripe shop says the replacement stripe,2,False,no_flip,True,True,True,True,True
297,1,2,1,False,,,,,The dealer tech is waiting in the scan lane,2,True,correct_to_shortcut,False,False,True,False,True
298,2,1,2,False,The welder-painter must scan the faded paint on,2,False,no_flip,,,,,False,False,True,False,True
299,1,2,1,False,,,,,to read the VIN stamped on the trailer tongue,2,True,correct_to_shortcut,False,False,True,False,True
300,2,1,2,False,,,,,The record scanner takes paper sheets,2,False,no_flip,False,False,True,False,True
301,1,2,2,True,The bus opacity test is next.,1,True,shortcut_to_correct,while the bus follows the acceleration prompts.,2,False,no_flip,True,True,True,True,True
302,2,1,2,False,The parts counter is across the lot.,2,False,no_flip,My horse trailer's marker lights flicker,1,True,correct_to_shortcut,False,True,True,False,True
303,1,2,2,True,after I toggle the switch twice.,1,True,shortcut_to_correct,The electric pallet jack wakes up only,2,False,no_flip,True,True,True,True,True
304,1,2,1,False,I am updating a parking account file.,1,False,no_flip,,,,,False,False,True,False,True
305,2,1,2,False,The golf-cart controller case is open.,2,False,no_flip,The mechanic is at the cart barn,1,True,correct_to_shortcut,False,True,True,False,True
306,2,1,2,False,,,,,with the clubhouse clerk.,1,True,correct_to_shortcut,False,False,True,False,True
307,2,1,2,False,The prepaid label is printed.,2,False,no_flip,,,,,False,False,True,False,True
308,2,1,2,False,,,,,The mobility-scooter bin key is approved.,1,True,correct_to_shortcut,False,False,True,False,True
309,1,2,2,True,,,,,to warm it up,2,False,no_flip,False,False,False,False,False
310,2,1,2,False,,,,,each vehicle's windshield pass as it rolls forward.,2,False,no_flip,False,False,True,False,True
311,2,1,2,False,,,,,while the manufacturer repair portal asks for the,1,True,correct_to_shortcut,False,False,True,False,True
312,1,2,1,False,before wardrobe scans it.,1,False,no_flip,,,,,False,False,True,False,True
313,1,2,1,False,,,,,The file clerk scans and bins proof pages,2,True,correct_to_shortcut,False,False,True,False,True
314,1,2,1,False,,,,,from the display,2,True,correct_to_shortcut,False,False,True,False,True
315,1,2,1,False,,,,,but boarding staff scan the windshield pass as,2,True,correct_to_shortcut,False,False,True,False,True
316,2,1,1,True,,,,,to watch the front wheel,1,False,no_flip,False,False,False,False,False
317,2,1,2,False,,,,,to sample exhaust,1,True,correct_to_shortcut,False,False,True,False,True
318,1,2,1,False,,,,,The zone sticker must be attached,1,False,no_flip,False,False,True,False,True
319,1,2,1,False,,,,,beside the bay where the truck has,1,False,no_flip,False,False,True,False,True
320,1,2,1,False,,,,,to the dish return door,2,True,correct_to_shortcut,False,False,True,False,True
321,1,2,1,False,,,,,to the windshield.,1,False,no_flip,False,False,True,False,True
322,2,1,2,False,,,,,,,,,False,False,True,False,True
323,1,2,1,False,,,,,but the shop must photograph the chassis number,2,True,correct_to_shortcut,False,False,True,False,True
324,1,2,1,False,,,,,The grinder repair ticket is open.,1,False,no_flip,False,False,True,False,True
325,2,1,2,False,,,,,to run a pressure test through the group head.,2,False,no_flip,False,False,True,False,True
326,1,2,1,False,,,,,The guard is at the drive-through post waiting,2,True,correct_to_shortcut,False,False,True,False,True
327,1,2,1,False,,,,,The painter must scan the sun-faded body tub,2,True,correct_to_shortcut,False,False,True,False,True
328,1,2,2,True,after-hours lab access file.,1,True,shortcut_to_correct,while the RFID fob must remain active on,2,False,no_flip,True,True,True,True,True
329,1,2,1,False,,,,,before the technician scans it.,1,False,no_flip,False,False,True,False,True
330,1,2,1,False,The warehouse lead must scan the GPS tag bolted,1,False,no_flip,,,,,False,False,True,False,True
331,2,1,2,False,,,,,The food-truck registration packet is ready.,2,False,no_flip,False,False,True,False,True
332,1,2,1,False,,,,,to keep the original receipt.,1,False,no_flip,False,False,True,False,True
333,2,1,2,False,The regrip ticket is open.,2,False,no_flip,,,,,False,False,True,False,True
334,2,1,2,False,,,,,wiring load test.,1,True,correct_to_shortcut,False,False,True,False,True
335,1,2,1,False,,,,,to read live data,2,True,correct_to_shortcut,False,False,True,False,True
336,1,2,1,False,The intake scanner reads the RMA sticker,1,False,no_flip,,,,,False,False,True,False,True
337,2,1,2,False,,,,,to hear first engagement,2,False,no_flip,False,False,True,False,True
338,2,1,2,False,,,,,to the drawer front,2,False,no_flip,False,False,True,False,True
339,2,1,2,False,,,,,,,,,False,False,True,False,True
340,2,1,2,False,,,,,with the repair-assistance clerk.,1,True,correct_to_shortcut,False,False,True,False,True
341,1,2,1,False,,,,,The produce warehouse will release the shipment only,2,True,correct_to_shortcut,False,False,True,False,True
342,1,2,2,True,and hear the contactor when I turn the key.,1,True,shortcut_to_correct,to watch my golf cart power up,2,False,no_flip,True,True,True,True,True
343,2,1,2,False,Staff scan proof pages and shred them,2,False,no_flip,I am documenting a small-appliance purchase at the,1,True,correct_to_shortcut,False,True,True,False,True
344,1,2,1,False,,,,,with the maintenance office.,2,True,correct_to_shortcut,False,False,True,False,True
345,2,1,2,False,,,,,,,,,False,False,True,False,True
346,1,2,1,False,,,,,He is waiting at the barn,2,True,correct_to_shortcut,False,False,True,False,True
347,1,2,1,False,The ATV safety kit is reserved.,1,False,no_flip,to scan the frame VIN,2,True,correct_to_shortcut,False,True,True,False,True
348,1,2,1,False,,,,,I am checking in an audio mixer.,1,False,no_flip,False,False,True,False,True
349,1,2,1,False,,,,,,,,,False,False,True,False,True
350,2,1,2,False,,,,,The tech is at the lane where the,1,True,correct_to_shortcut,False,False,True,False,True
351,2,1,2,False,to read the freezer unit screen on the truck,2,False,no_flip,,,,,False,False,True,False,True
352,1,2,1,False,The side-by-side axle kit is approved.,1,False,no_flip,to photograph the VIN sticker,2,True,correct_to_shortcut,False,True,True,False,True
353,1,2,1,False,,,,,I am adding a DJ controller to inventory.,1,False,no_flip,False,False,True,False,True
354,1,2,1,False,I am checking an amp,1,False,no_flip,,,,,False,False,True,False,True
355,2,1,2,False,and returns no paper,2,False,no_flip,while the service-plan folder asks me,2,False,no_flip,False,True,True,False,True
356,1,2,1,False,,,,,to lift the slab,1,False,no_flip,False,False,True,False,True
357,1,2,1,False,,,,,and the car has,1,False,no_flip,False,False,True,False,True
358,1,2,2,True,,,,,to the trailer tongue only,2,False,no_flip,False,False,False,False,False
359,2,1,2,False,,,,,I am documenting a bus delay for timekeeping office.,1,True,correct_to_shortcut,False,False,True,False,True
360,2,1,2,False,,,,,I am depositing event cash.,2,False,no_flip,False,False,True,False,True
361,1,2,1,False,The sign says sample jars are accepted only,1,False,no_flip,,,,,False,False,True,False,True
362,2,1,2,False,,,,,and I have no coin in my pocket.,2,False,no_flip,False,False,True,False,True
363,2,1,2,False,,,,,,,,,False,False,True,False,True
364,1,2,2,True,The office is right by the sidewalk.,1,True,shortcut_to_correct,to scan the faded wrap,2,False,no_flip,True,True,True,True,True
365,1,2,1,False,,,,,The service tech is waiting at the bay,2,True,correct_to_shortcut,False,False,True,False,True
366,1,2,1,False,to tell the church livestream operator that the,1,False,no_flip,,,,,False,False,True,False,True
367,1,2,1,False,,,,,The boom-lift inspection sheet is ready.,2,True,correct_to_shortcut,False,False,True,False,True
368,2,1,2,False,,,,,with the rear bumper dent.,2,False,no_flip,False,False,True,False,True
369,2,1,2,False,,,,,and adjust the cable tension.,2,False,no_flip,False,False,True,False,True
370,1,2,1,False,,,,,The marina accepted my outboard warranty claim,1,False,no_flip,False,False,True,False,True
371,1,2,1,False,,,,,and phones must,1,False,no_flip,False,False,True,False,True
372,1,2,1,False,,,,,The technician is at the gravel pad,2,True,correct_to_shortcut,False,False,True,False,True
373,1,2,1,False,,,,,to scan the small sticker on my e-bike frame,2,True,correct_to_shortcut,False,False,True,False,True
374,1,2,1,False,The counter clerk weighs the hard case only,1,False,no_flip,,,,,False,False,True,False,True
375,2,1,2,False,,,,,The projection operator is running live supertitles.,2,False,no_flip,False,False,True,False,True
376,1,2,1,False,and returns no paper,1,False,no_flip,battery charger.,1,False,no_flip,False,True,True,False,True
377,2,1,2,False,,,,,to match the faded stripe already on the,2,False,no_flip,False,False,True,False,True
378,2,1,2,False,,,,,The store loader is at the curb,2,False,no_flip,False,False,True,False,True
379,2,1,2,False,,,,,I am documenting a ceiling fan purchase,1,True,correct_to_shortcut,False,False,True,False,True
380,2,1,2,False,because it was reported loose.,2,False,no_flip,The gate attendant checks the rack,1,True,correct_to_shortcut,False,True,True,False,True
381,2,1,2,False,,,,,to check them,2,False,no_flip,False,False,True,False,True
382,2,1,2,False,the envelope.,2,False,no_flip,,,,,False,False,True,False,True
383,2,1,2,False,,,,,to clamp the actual racket frame.,2,False,no_flip,False,False,True,False,True
384,1,2,1,False,,,,,with a color reader for the faded gelcoat,2,True,correct_to_shortcut,False,False,True,False,True
385,2,1,2,False,Donations are accepted only in the donation bin,2,False,no_flip,,,,,False,False,True,False,True
386,2,1,2,False,,,,,The campground ticket can be dismissed if the,1,True,correct_to_shortcut,False,False,True,False,True
387,2,1,2,False,,,,,,,,,False,False,True,False,True
388,1,2,1,False,to retain the paper item.,1,False,no_flip,,,,,False,False,True,False,True
389,2,1,2,False,,,,,because the slab leaves only by being slid,2,False,no_flip,False,False,True,False,True
390,2,1,2,False,to the trailer's plate,2,False,no_flip,near the boat ramp.,1,True,correct_to_shortcut,False,True,True,False,True
391,2,1,2,False,to the base plate,2,False,no_flip,,,,,False,False,True,False,True
392,1,2,1,False,,,,,into my truck bed.,1,False,no_flip,False,False,True,False,True
393,2,1,2,False,to enter the lab.,2,False,no_flip,while my proximity card must stay,2,False,no_flip,False,True,True,False,True
394,2,1,2,False,,,,,the trailer's set-point display,1,True,correct_to_shortcut,False,False,True,False,True
395,1,2,1,False,,,,,The luthier is at the bench,1,False,no_flip,False,False,True,False,True
396,1,2,1,False,,,,,I am turning in a classroom display board.,1,False,no_flip,False,False,True,False,True
397,2,1,2,False,,,,,travel-payroll desk.,1,True,correct_to_shortcut,False,False,True,False,True
398,1,2,1,False,,,,,The inspector is waiting at the launch edge,1,False,no_flip,False,False,True,False,True
399,2,1,2,False,,,,,to photograph the cracked rear bumper bracket.,1,True,correct_to_shortcut,False,False,True,False,True
400,1,2,1,False,,,,,to watch the latch move,2,True,correct_to_shortcut,False,False,True,False,True
401,1,2,1,False,and the lab rule says glass fragments go,1,False,no_flip,,,,,False,False,True,False,True
402,2,1,2,False,,,,,after reading the seal,1,True,correct_to_shortcut,False,False,True,False,True
403,2,1,2,False,,,,,The city scooter permit slot is booked.,2,False,no_flip,False,False,True,False,True
404,1,2,1,False,,,,,but service must photograph the hour meter,2,True,correct_to_shortcut,False,False,True,False,True
405,1,2,1,False,,,,,with a code reader that must stay plugged in,1,False,no_flip,False,False,True,False,True
406,1,2,1,False,into the green compost bin,1,False,no_flip,,,,,False,False,True,False,True
407,1,2,1,False,,,,,while the ferry counter needs the original boarding,2,True,correct_to_shortcut,False,False,True,False,True
408,1,2,1,False,,,,,but the check is done at the vehicle gate.,2,True,correct_to_shortcut,False,False,True,False,True
409,1,2,1,False,,,,,to photograph the serial plate,2,True,correct_to_shortcut,False,False,True,False,True
410,1,2,1,False,,,,,The attendant is at the lane split,2,True,correct_to_shortcut,False,False,True,False,True
411,2,1,2,False,placed in the cartridge return box.,2,False,no_flip,,,,,False,False,True,False,True
412,1,2,1,False,before it enters storage.,1,False,no_flip,,,,,False,False,True,False,True
413,2,1,2,False,,,,,The inventory sticker must be applied,2,False,no_flip,False,False,True,False,True
414,1,2,1,False,,,,,while my warranty folder keeps the original receipt.,1,False,no_flip,False,False,True,False,True
415,2,1,1,True,The reception counter is nearby.,2,True,shortcut_to_correct,The senior center is issuing indoor-use tags for scooters.,1,False,no_flip,True,True,True,True,True
416,1,2,1,False,,,,,The side-by-side dealer can release the safety campaign parts only,2,True,correct_to_shortcut,False,False,True,False,True
417,2,1,2,False,,,,,The flooring pallet is cleared.,2,False,no_flip,False,False,True,False,True
418,1,2,1,False,while the thermostat calls for cooling.,1,False,no_flip,The RV tech is waiting at the pad,1,False,no_flip,False,True,True,False,True
419,2,1,2,False,,,,,with the community-room clerk.,1,True,correct_to_shortcut,False,False,True,False,True
420,1,2,1,False,,,,,to keep the original receipt.,2,True,correct_to_shortcut,False,False,True,False,True
421,2,1,2,False,,,,,with the housing-assistance clerk.,1,True,correct_to_shortcut,False,False,True,False,True
422,2,1,2,False,,,,,while the lens warranty envelope asks me,1,True,correct_to_shortcut,False,False,True,False,True
423,1,2,2,True,The golf-cart controller case is open.,1,True,shortcut_to_correct,with the laptop that reads controller logs,2,False,no_flip,True,True,True,True,True
424,1,2,1,False,,,,,The guard shack records the frame number,2,True,correct_to_shortcut,False,False,True,False,True
425,2,1,2,False,of purchase.,2,False,no_flip,The desk scans proof pages and bins them,2,False,no_flip,False,True,True,False,True
426,1,2,1,False,,,,,The branch checker is waiting in the side lot,2,True,correct_to_shortcut,False,False,True,False,True
427,1,2,1,False,,,,,before the clerk scans it.,1,False,no_flip,False,False,True,False,True
428,1,2,1,False,truck freezer display,1,False,no_flip,,,,,False,False,True,False,True
429,2,1,2,False,,,,,,,,,False,False,True,False,True
430,1,2,1,False,,,,,to confirm the frame number,1,False,no_flip,False,False,True,False,True
431,1,2,1,False,,,,,I am adding a lunch receipt,1,False,no_flip,False,False,True,False,True
432,2,1,2,False,over comms.,2,False,no_flip,,,,,False,False,True,False,True
433,2,1,2,False,,,,,with the equipment-file desk.,1,True,correct_to_shortcut,False,False,True,False,True
434,1,2,1,False,,,,,The mulch order is stamped complete.,1,False,no_flip,False,False,True,False,True
435,2,1,2,False,,,,,to photograph the transponder mount on my windshield.,2,False,no_flip,False,False,True,False,True
436,2,1,1,True,,,,,to test forward engagement,1,False,no_flip,False,False,False,False,False
437,1,2,1,False,,,,,after testing the breakaway switch,2,True,correct_to_shortcut,False,False,True,False,True
438,1,2,1,False,,,,,to photograph the front bumper,2,True,correct_to_shortcut,False,False,True,False,True
439,1,2,1,False,and returns no paper,1,False,no_flip,while the manufacturer rebate wants the original receipt.,1,False,no_flip,False,True,True,False,True
440,1,2,1,False,before handing out the kit.,1,False,no_flip,,,,,False,False,True,False,True
441,2,1,2,False,,,,,The repair shop has a ramp set up,2,False,no_flip,False,False,True,False,True
442,1,2,1,False,,,,,to watch the deck linkage,1,False,no_flip,False,False,True,False,True
443,2,1,1,True,to keep the original receipt.,2,True,shortcut_to_correct,,,,,False,False,False,False,False
444,2,1,2,False,receipt for a fare adjustment.,2,False,no_flip,I am filing a commuter-late form.,1,True,correct_to_shortcut,False,True,True,False,True
445,2,1,2,False,,,,,to observe neutral-to-forward engagement,1,True,correct_to_shortcut,False,False,True,False,True
446,2,1,2,False,,,,,to watch live values,1,True,correct_to_shortcut,False,False,True,False,True
447,1,2,1,False,after pulling the breakaway pin,1,False,no_flip,The rental yard will clear my dump trailer only,2,True,correct_to_shortcut,False,True,True,False,True
448,1,2,1,False,,,,,,,,,False,False,True,False,True
449,2,1,2,False,,,,,to watch the first startup,2,False,no_flip,False,False,True,False,True
450,1,2,1,False,,,,,The boat-trailer repair ticket is open.,1,False,no_flip,False,False,True,False,True
451,2,1,2,False,,,,,with the building office.,1,True,correct_to_shortcut,False,False,True,False,True
452,1,2,1,False,,,,,into the van.,2,True,correct_to_shortcut,False,False,True,False,True
453,1,2,2,True,while the rebate form requires the original dated receipt.,1,True,shortcut_to_correct,with the front desk.,2,False,no_flip,True,True,True,True,True
454,2,1,2,False,,,,,,,,,False,False,True,False,True
455,1,2,1,False,The organizer is moderating a silent reading event.,1,False,no_flip,,,,,False,False,True,False,True
456,2,1,2,False,to tell the caption operator that the alternate,2,False,no_flip,,,,,False,False,True,False,True
457,2,1,2,False,,,,,while the service warranty asks me,1,True,correct_to_shortcut,False,False,True,False,True
458,1,2,1,False,,,,,The keyboard service case is open.,1,False,no_flip,False,False,True,False,True
459,2,1,2,False,,,,,,,,,False,False,True,False,True
460,2,1,2,False,I am checking in a framed map.,2,False,no_flip,,,,,False,False,True,False,True
461,2,1,1,True,,,,,to scan the trailer seal,1,False,no_flip,False,False,False,False,False
462,2,1,2,False,,,,,to inspect my golf cart's registration tag,1,True,correct_to_shortcut,False,False,True,False,True
463,2,1,2,False,,,,,into the numbered return envelope.,2,False,no_flip,False,False,True,False,True
464,1,2,1,False,,,,,to keep the original receipt.,1,False,no_flip,False,False,True,False,True
465,2,1,2,False,The uniform patch is approved.,2,False,no_flip,,,,,False,False,True,False,True
466,1,2,1,False,,,,,She is updating the score during live play.,1,False,no_flip,False,False,True,False,True
467,1,2,1,False,while switching,1,False,no_flip,to capture the fault,2,True,correct_to_shortcut,False,True,True,False,True
468,1,2,1,False,,,,,while the entry keycard must remain active in,2,True,correct_to_shortcut,False,False,True,False,True
469,2,1,2,False,while the bus accelerates through the prompts.,2,False,no_flip,,,,,False,False,True,False,True
470,2,1,2,False,,,,,The site label must be sealed,2,False,no_flip,False,False,True,False,True
471,1,2,2,True,while the rebate form requires the original dated receipt.,1,True,shortcut_to_correct,The clerk scans proof pages and discards them,2,False,no_flip,True,True,True,True,True
472,2,1,2,False,,,,,I need to open the campus bike cage.,2,False,no_flip,False,False,True,False,True
473,1,2,1,False,,,,,while the switch warranty portal asks me,2,True,correct_to_shortcut,False,False,True,False,True
474,1,2,1,False,but the deposit status is pending.,1,False,no_flip,,,,,False,False,True,False,True
475,1,2,1,False,because they inventory both pieces together.,1,False,no_flip,,,,,False,False,True,False,True
476,1,2,1,False,The paperwork counter is at the front building.,1,False,no_flip,The rental yard will release the boat trailer only,2,True,correct_to_shortcut,False,True,True,False,True
477,2,1,1,True,,,,,with the cable that reads controller logs,1,False,no_flip,False,False,False,False,False
478,2,1,2,False,,,,,The RV tech has the notes.,1,True,correct_to_shortcut,False,False,True,False,True
479,1,2,2,True,to read the temperature logger mounted,1,True,shortcut_to_correct,The event runner at the exit has,2,False,no_flip,True,True,True,True,True
480,2,1,2,False,,,,,,,,,False,False,True,False,True
481,1,2,1,False,,,,,The car-dolly checkout is otherwise complete.,1,False,no_flip,False,False,True,False,True
482,2,1,2,False,,,,,,,,,False,False,True,False,True
483,2,1,2,False,,,,,,,,,False,False,True,False,True
484,2,1,2,False,,,,,The locksmith is at the curb,1,True,correct_to_shortcut,False,False,True,False,True
485,2,1,2,False,,,,,with a live display for tight-turn sensor values.,1,True,correct_to_shortcut,False,False,True,False,True
486,1,2,1,False,The nurse says coolers must go,1,False,no_flip,to the medication room intake,2,True,correct_to_shortcut,False,True,True,False,True
487,1,2,1,False,,,,,payroll desk.,2,True,correct_to_shortcut,False,False,True,False,True
488,2,1,2,False,Wardrobe intake scans it only,2,False,no_flip,,,,,False,False,True,False,True
489,1,2,1,False,,,,,The marina tech is at the service slip,1,False,no_flip,False,False,True,False,True
490,2,1,2,False,,,,,Intake is waiting at the repair alcove,1,True,correct_to_shortcut,False,False,True,False,True
491,2,1,2,False,The pro shop counter is nearby.,2,False,no_flip,and trying the blank in the actual latch.,1,True,correct_to_shortcut,False,True,True,False,True
492,1,2,1,False,,,,,The verifier is at the curb,2,True,correct_to_shortcut,False,False,True,False,True
493,1,2,1,False,,,,,to the lid handle,1,False,no_flip,False,False,True,False,True
494,2,1,2,False,,,,,and watch the wheel bracket,1,True,correct_to_shortcut,False,False,True,False,True
495,2,1,2,False,,,,,The equipment loan for my compact tractor is approved.,1,True,correct_to_shortcut,False,False,True,False,True
496,2,1,2,False,,,,,to scan the scooter serial plate,1,True,correct_to_shortcut,False,False,True,False,True
497,2,1,2,False,,,,,The yard checker is at the test stand,1,True,correct_to_shortcut,False,False,True,False,True
498,2,1,2,False,I am cleaning out a device drawer.,2,False,no_flip,,,,,False,False,True,False,True
499,1,2,2,True,,,,,and verify brake resistance.,2,False,no_flip,False,False,False,False,False
500,2,1,2,False,The technician is at the board,2,False,no_flip,to read the camera through the replaced windshield.,1,True,correct_to_shortcut,False,True,True,False,True
